country/region,year,month,avg_confirmed,avg_recovered,avg_deaths,benua,jenis_seasons,season
Antigua and Barbuda,2021,3,970.483870967742,582.2903225806451,24.838709677419356,North America,Tropical/Subtropical,Dry Season
Antigua and Barbuda,2021,4,1202.4333333333334,953.2333333333333,30.366666666666667,North America,Tropical/Subtropical,Dry Season
Antigua and Barbuda,2021,5,1245.516129032258,1143.9354838709678,36.903225806451616,North America,Tropical/Subtropical,Wet Season
Antigua and Barbuda,2021,6,1262.8333333333333,1217.1666666666667,42.0,North America,Tropical/Subtropical,Wet Season
Antigua and Barbuda,2021,7,1273.5483870967741,1225.0645161290322,42.25806451612903,North America,Tropical/Subtropical,Wet Season
Antigua and Barbuda,2021,8,1444.3548387096773,159.48387096774192,43.064516129032256,North America,Tropical/Subtropical,Wet Season
Antigua and Barbuda,2021,9,2396.9333333333334,0.0,54.233333333333334,North America,Tropical/Subtropical,Wet Season
Antigua and Barbuda,2021,10,3824.548387096774,0.0,93.93548387096774,North America,Tropical/Subtropical,Wet Season
Antigua and Barbuda,2021,11,4113.9,0.0,109.03333333333333,North America,Tropical/Subtropical,Dry Season
Antigua and Barbuda,2021,12,4191.193548387097,0.0,117.35483870967742,North America,Tropical/Subtropical,Dry Season
Antigua and Barbuda,2022,1,5442.709677419355,0.0,121.48387096774194,North America,Tropical/Subtropical,Dry Season
Antigua and Barbuda,2022,2,7192.428571428572,0.0,132.78571428571428,North America,Tropical/Subtropical,Dry Season
Antigua and Barbuda,2022,3,7469.322580645161,0.0,135.0,North America,Tropical/Subtropical,Dry Season
Antigua and Barbuda,2022,4,7510.25,0.0,135.0,North America,Tropical/Subtropical,Dry Season
Argentina,2020,1,0.0,0.0,0.0,South America,Other,Unknown
Argentina,2020,2,0.0,0.0,0.0,South America,Other,Unknown
Argentina,2020,3,210.61290322580646,28.225806451612904,5.096774193548387,South America,Other,Unknown
Argentina,2020,4,2585.866666666667,653.0,116.06666666666666,South America,Other,Unknown
Argentina,2020,5,8888.90322580645,2739.6451612903224,372.96774193548384,South America,Other,Unknown
Argentina,2020,6,36375.066666666666,11171.9,892.5,South America,Other,Unknown
Argentina,2020,7,120282.93548387097,50218.93548387097,2233.0,South America,Other,Unknown
Argentina,2020,8,298198.8064516129,194511.93548387097,5934.645161290323,South America,Other,Unknown
Argentina,2020,9,584866.0666666667,447131.43333333335,12390.966666666667,South America,Other,Unknown
Argentina,2020,10,965242.2258064516,782245.4838709678,25651.612903225807,South America,Other,Unknown
Argentina,2020,11,1310243.1666666667,1130410.5333333334,35423.066666666666,South America,Other,Unknown
Argentina,2020,12,1520541.5483870967,1347631.5806451612,41226.8064516129,South America,Other,Unknown
Argentina,2021,1,1784272.9677419355,1574366.0,45549.290322580644,South America,Other,Unknown
Argentina,2021,2,2026208.857142857,1824735.0714285714,50278.892857142855,South America,Other,Unknown
Argentina,2021,3,2216572.935483871,2001478.2903225806,54026.93548387097,South America,Other,Unknown
Argentina,2021,4,2647225.066666667,2334986.3333333335,59148.3,South America,Other,Unknown
Argentina,2021,5,3349195.6129032257,2969255.35483871,70840.09677419355,South America,Other,Unknown
Argentina,2021,6,4168661.2333333334,3763295.3,86706.3,South America,Other,Unknown
Argentina,2021,7,4722135.322580645,4351409.129032258,100661.32258064517,South America,Other,Unknown
Argentina,2021,8,5082387.064516129,593479.5161290322,109142.54838709677,South America,Other,Unknown
Argentina,2021,9,5229972.566666666,0.0,113837.86666666667,South America,Other,Unknown
Argentina,2021,10,5272677.193548387,0.0,115630.67741935483,South America,Other,Unknown
Argentina,2021,11,5308823.766666667,0.0,116282.73333333334,South America,Other,Unknown
Argentina,2021,12,5406201.903225807,0.0,116862.58064516129,South America,Other,Unknown
Argentina,2022,1,7080963.741935484,0.0,118554.41935483871,South America,Other,Unknown
Argentina,2022,2,8733580.5,0.0,124271.28571428571,South America,Other,Unknown
Argentina,2022,3,8983451.193548387,0.0,127303.35483870968,South America,Other,Unknown
Argentina,2022,4,9050661.75,0.0,128188.875,South America,Other,Unknown
